segment,n,duration_s,metric,mean,std,min,max
ambient_ref,22,49.748999999999796,tempC,26.007727272727276,0.01066003581778058,25.98,26.02
ambient_ref,22,49.748999999999796,humPct,26.57045454545454,0.16243613463604067,26.51,27.26
ambient_ref,22,49.748999999999796,gasKOhms,32.463181818181816,0.31390605758253987,31.36,32.84
ambient_ref,22,49.748999999999796,deltaGasKOhms,0.2636363636363636,0.31368084257039186,-0.84,0.64
ambient_ref,22,49.748999999999796,gasDropPct,-0.818181818181818,0.9703933241027596,-1.98,2.59
ambient_ref,22,49.748999999999796,deltaHumPct,0.0790909090909091,0.16291713029019184,0.02,0.77
fresh_oranges,294,694.1169999999997,tempC,24.27465986394558,0.5162033754909404,23.88,25.97
fresh_oranges,294,694.1169999999997,humPct,30.836496598639457,1.051360067463078,27.76,32.26
fresh_oranges,294,694.1169999999997,gasKOhms,30.91772108843538,0.8807520311488771,29.1,33.04
fresh_oranges,294,694.1169999999997,deltaGasKOhms,-1.2818367346938775,0.8806106478945197,-3.1,0.84
fresh_oranges,294,694.1169999999997,gasDropPct,3.980374149659864,2.7351555657310014,-2.61,9.63
fresh_oranges,294,694.1169999999997,deltaHumPct,4.3441496598639455,1.0514458392861243,1.26,5.76
old_oranges,73,170.5680000000002,tempC,24.641506849315068,0.23874481514368184,24.0,24.86
old_oranges,73,170.5680000000002,humPct,34.88863013698631,3.1479447947424073,30.54,43.88
old_oranges,73,170.5680000000002,gasKOhms,15.45260273972603,6.063044254469784,8.04,33.19
old_oranges,73,170.5680000000002,deltaGasKOhms,-16.74684931506849,6.06335552422005,-24.16,1.0
old_oranges,73,170.5680000000002,gasDropPct,52.00958904109589,18.831598698756018,-3.09,75.02
old_oranges,73,170.5680000000002,deltaHumPct,8.396849315068492,3.1489759696660515,4.05,17.39
